,Open,High,Low,Close,Adj Close,Volume,Dividend
2014-10-31,116.61,120.5,111.655,112.66,112.66,155247347.0,0.0
2014-11-28,112.39,115.96,109.67,112.11,112.11,147609613.0,0.0
2014-12-31,113.8,118.99,112.41,113.58,113.58,153722168.0,0.0
2015-01-30,112.49,125.58,112.32,123.45,123.45,198034124.0,0.0
2015-02-27,121.84,123.155,114.29,116.16,116.16,125686343.0,0.0
2015-03-31,116.5,116.64,109.77,113.66,113.66,133483248.0,0.0
2015-04-30,114.56,117.47,112.77,113.47,113.47,106636410.0,0.0
2015-05-29,112.42,117.88,112.28,114.1,114.1,99097098.0,0.0
2015-06-30,115.02,115.61,111.5668,112.37,112.37,110268512.0,0.0
2015-07-31,112.12,112.58,103.431,104.93,104.93,157497998.0,0.0
2015-08-31,104.59,112.12,103.78,108.82,108.82,151171403.0,0.0
2015-09-30,109.63,110.82,105.27,106.86,106.86,113791138.0,0.0
2015-10-30,106.98,113.99,106.63,109.3,109.3,131532509.0,0.0
2015-11-30,108.64,108.84,100.99,101.92,101.92,106868974.0,0.0
2015-12-31,102.3,104.21,100.2326,101.46,101.46,124503344.0,0.0
2016-01-29,103.13,107.93,102.485,106.9492,106.9492,139712631.0,0.0
2016-02-29,107.54,120.84,107.35,118.64,118.64,314968647.0,0.0
2016-03-31,118.74,122.37,116.16,117.64,117.64,259714884.0,0.0
2016-04-29,116.08,123.93,115.0,123.65,123.65,222989139.0,0.0
2016-05-31,123.78,123.96,115.29,116.06,116.06,201095841.0,0.0
2016-06-30,115.97,127.05,115.2,126.47,126.47,307772936.0,0.0
2016-07-29,127.66,131.15,125.11,128.98,128.98,259545970.0,0.0
2016-08-31,128.57,130.55,124.64,124.78,124.78,215784155.0,0.0
2016-09-30,124.67,129.08,124.55,125.64,125.64,213662280.0,0.0
2016-10-31,125.32,125.46,118.42,121.94,121.94,181298131.0,0.0
2016-11-30,122.8,124.76,111.5,111.75,111.75,247890602.0,0.0
2016-12-30,111.11,112.5,107.0,109.61,109.61,159862609.0,0.0
2017-01-31,109.62,116.17,109.37,115.55,115.55,150544529.0,0.0
2017-02-28,114.66,120.4,114.14,119.23,119.23,150265041.0,0.0
2017-03-31,117.98,120.08,114.02,118.72,118.72,172556289.0,0.0
2017-04-28,118.69,123.07,118.4,120.77,120.77,176156399.0,0.0
2017-05-31,120.21,121.23,115.56,120.62,120.62,160110595.0,0.0
2017-06-30,120.17,123.31,117.91,118.02,118.02,160832413.0,0.0
2017-07-31,116.54,120.8558,114.8,120.75,120.75,128516420.0,0.0
2017-08-31,120.44,125.87,118.97,125.82,125.82,179581032.0,0.0
2017-09-29,126.01,128.32,121.55,121.58,121.58,172367885.0,0.0
2017-10-31,121.17,123.97,119.7835,120.67,120.67,137805062.0,0.0
2017-11-30,120.98,123.33,120.1844,121.1,121.1,121996346.0,0.0
